"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"전문대학","사립","부산과학기술대학교","부산","2805","211200","6001798"
"전문대학","사립","부산여자대학교","부산","2362","198000","5869428"
"전문대학","사립","부산예술대학교","부산","901","214500","6107547"
"전문대학","사립","부천대학교","경기","5266","247500","6549859"
"전문대학","사립","삼육보건대학교","서울","1060","203600","5725042"
"전문대학","사립","서라벌대학교","경북","650","198000","5786308"
"전문대학","사립","서영대학교","광주","4132","234960","5458049"
"전문대학","사립","서울여자간호대학교","서울","672","257400","6346000"
"전문대학","사립","서울예술대학교","경기","1792","326000","8101938"
"전문대학","사립","서일대학교","서울","5590","256000","6004555"
"전문대학","사립","서정대학교","경기","3123","220770","6201402"
"전문대학","사립","선린대학교","경북","2145","165000","5767426"
"전문대학","사립","성운대학교","경북","1259","99000","5062451"
"전문대학","사립","세경대학교","강원","951","214500","4950793"
"전문대학","사립","송곡대학교","강원","573","165000","5291281"
"전문대학","사립","송호대학교","강원","827","238000","5870085"
"전문대학","사립","수성대학교","대구","3075","238000","5790374"
"전문대학","사립","수원과학대학교","경기","4814","226000","5534262"
"전문대학","사립","수원여자대학교","경기","4008","238920","6619303"
"전문대학","사립","순천제일대학교","전남","2434","198000","5357975"
"전문대학","사립","숭의여자대학교","서울","3132","218100","5646693"
"전문대학","사립","신구대학교","경기","6080","260000","6549247"
"전문대학","사립","신성대학교","충남","3274","221100","6459316"
"전문대학","사립","신안산대학교","경기","3445","217800","6315695"
"전문대학","사립","아주자동차대학","충남","939","223213","6345840"
"전문대학","사립","안동과학대학교","경북","2380","230000","5697929"
"전문대학","사립","안산대학교","경기","4014","234000","6004699"
"전문대학","사립","여주대학교","경기","4553","230000","6645750"
"전문대학","사립","연성대학교","경기","5581","223005","6393403"
"전문대학","사립","연암공과대학교","경남","1164","231000","5470000"
"전문대학","사립","연암대학교","충남","966","219450","6100000"
"전문대학","사립","영남외국어대학","경북","794","216233","5427809"
"전문대학","사립","영남이공대학교","대구","4968","244000","6114158"
"전문대학","사립","영진전문대학교","대구","5698","251000","6064740"
"전문대학","사립","오산대학교","경기","4137","240000","6559720"
"전문대학","사립","용인예술과학대학교","경기","3574","234000","6800112"
"전문대학","사립","우송정보대학","대전","4150","168300","5917017"
"전문대학","사립","울산과학대학교","울산","4441","205000","6053708"
"전문대학","사립","웅지세무대학교","경기","1797","238900","6960000"
"전문대학","사립","원광보건대학교","전북","3976","214500","6131577"
"전문대학","사립","유한대학교","경기","4397","215000","5973031"
"전문대학","사립","인덕대학교","서울","5510","259000","6449801"
"전문대학","사립","인천재능대학교","인천","3246","219000","6295417"
