"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"서강대학교","대학","사립","서울","11648623593","9452993213","154552610","2041077770","9704005365","878186200","5778448825","1736689640","","33894400","1276786300","21352628958"
"서경대학교","대학","사립","서울","11015367500","10829408400","68375100","117584000","9184362504","1485221200","3454127670","533432315","","18240300","3693341019","20199730004"
"서라벌대학교","전문대학","사립","경북","1494811600","1423286600","1000000","70525000","446766200","124992600","77074800","11383800","","2460000","230855000","1941577800"
"서영대학교","전문대학","사립","광주","13526219398","13489737898","2500000","33981500","3463715743","860094991","66045520","147122400","","35111800","2355341032","16989935141"
"서울과학기술대학교","대학","국공립","서울","19437565815","18686991228","103147910","647426677","13238124000","2397830980","2378023850","3075862800","1063120270","","4323286100","32675689815"
"서울교육대학교","대학","국공립","서울","1682543160","1472105930","28538520","181898710","1074088800","289980000","175063000","152980800","152500000","","303565000","2756631960"
"서울기독대학교","대학","사립","서울","987027034","961698434","4147000","21181600","721676600","195462500","155404500","141382600","56750000","","172677000","1708703634"
"서울대학교","대학","국공립","서울","33460857780","19067918580","204549750","14188389450","19827033907","134735000","6695862310","3589983710","2160580000","","7245872887","53287891687"
"서울디지털대학교","대학","사립","서울","8497862150","8491372150","5500000","990000","3972301300","749655000","37806200","","","20541000","3164299100","12470163450"
"서울사이버대학교","대학","사립","서울","12953068800","12935841000","5500000","11727800","7775894933","572744250","77021100","","","9009000","7117120583","20728963733"
"서울시립대학교","대학","국공립","서울","9861002154","9116644183","36476210","707881761","5781205853","1358082500","1005553250","1921390873","","","1496179230","15642208007"
"서울신학대학교","대학","사립","경기","7041561284","6879470784","3552000","158538500","2700621306","380064500","1036291560","250072046","416000000","27336400","590856800","9742182590"
"서울여자간호대학교","전문대학","사립","서울","1599333324","1494694764","23938560","80700000","913113890","298785040","241941000","19652400","206402150","4500000","141833300","2512447214"
"서울여자대학교","대학","사립","서울","14588564073","13760537420","186978135","641048518","9815206547","1559488650","4505756358","417352750","1995487449","16452000","1320669340","24403770620"
"서울예술대학교","전문대학","사립","경기","6856273160","6628005300","74841560","153426300","4205603519","992914333","1224340686","539060550","611200000","35844300","802243650","11061876679"
"서울장신대학교","대학","사립","경기","1553121200","1517904200","","35217000","646528460","122440500","241378000","107418460","","6942000","168349500","2199649660"
"서울한영대학교","대학","사립","서울","2039095900","1981228700","10904000","46963200","603121680","103655820","210620200","51087800","","","237757860","2642217580"
"서원대학교","대학","사립","충북","15668099270","15083050130","177645440","407403700","8627931700","2168932500","383753120","1198761400","1226400000","129369400","3520715280","24296030970"
"서일대학교","전문대학","사립","서울","14741853120","14604469300","16180000","121203820","5447267000","1998063360","1529645150","432249430","638254260","47987620","801067180","20189120120"
"서정대학교","전문대학","사립","경기","15041202110","14963202470","17689640","60310000","6818405790","407801740","153751280","472103000","682843650","55732100","5046174020","21859607900"
"선린대학교","전문대학","사립","경북","5851673218","5805383218","","46290000","2096200140","401125900","620225700","101444400","311170240","23376000","638857900","7947873358"
"선문대학교","대학","사립","충남","23053265322","20065481532","56664550","2931119240","12710717131","1701682630","3098979250","513706660","","199692000","7196656591","35763982453"
"성결대학교","대학","사립","경기","10802637557","10703306057","30639500","68692000","7410874922","2417969040","812900000","768847140","740850000","39945000","2630363742","18213512479"
"성공회대학교","대학","사립","서울","5210565817","5147812417","25298800","37454600","2620324990","577744580","763984290","174774200","696419000","20829800","386573120","7830890807"
"성균관대학교","대학","사립","서울","25683596468","22178669901","221559760","3283366807","34050342159","14238520500","5948328309","1473707604","1831100000","","10558685746","59733938627"
"성신여자대학교","대학","사립","서울","17188244860","16471799100","166512280","549933480","15128544100","6937958100","4123706400","679167600","630169000","9412000","2748131000","32316788960"
"성운대학교","전문대학","사립","경북","3533021685","3529583125","","3438560","2283993450","25174800","","7392600","","","2251426050","5817015135"
