시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,도로명주소코드,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
2132,1144000000,151,서울특별시,마포구,한국우진학교,1.14401E+24,1144012600,1144073000,서울특별시 마포구 월드컵북로38길 21(중동),553,126.90331,37.571583,191458.2972,552453.4002
2133,1144000000,232,서울특별시,마포구,가좌행복경로당,1.14401E+24,1144012600,1144073000,"서울특별시 마포구 성암로 28(성산동, 가좌행복주택)",139,126.912523,37.569515,192271.9911,552223.0109
2134,1147000000,338,서울특별시,양천구,강신초등학교 교사시설,1.14701E+24,1147010300,1147060000,서울특별시 양천구 월정로 280(신월동),120,126.829448,37.542539,184927.4404,549239.0554
2364,1174000000,441,서울특별시,강동구,암사2동주민센터,1.17401E+24,1174010700,1174058000,서울특별시 강동구 상암로3길 28(암사동),560,127.127317,37.551686,211250.2799,550248.2083
2365,1174000000,10,서울특별시,강동구,강일중학교,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로27길 12(암사동),648,127.135811,37.556165,212000.1458,550746.3668
2366,1174000000,333,서울특별시,강동구,암사3동 주민센터,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로 137(암사동),161,127.14082,37.554972,212442.91,550614.628
2367,1174000000,367,서울특별시,강동구,신암중학교,1.17401E+24,1174010700,1174059000,서울특별시 강동구 고덕로 65(암사동),1006,127.133081,37.555645,211758.9767,550688.359
2368,1174000000,312,서울특별시,강동구,천호중학교,1.17401E+24,1174010900,1174060000,서울특별시 강동구 상암로 153(천호동),895,127.139577,37.546398,212334.4913,549662.9301
2369,1174000000,329,서울특별시,강동구,천호초등학교 체육관,1.17401E+24,1174010900,1174060000,서울특별시 강동구 구천면로 310-11 (천호동),1000,127.136443,37.547308,212057.3776,549763.4427
2370,1174000000,330,서울특별시,강동구,천호초등학교,1.17401E+24,1174010900,1174060000,서울특별시 강동구 구천면로 310-11 (천호동),3041,127.136443,37.547308,212057.3776,549763.4427
2371,1174000000,315,서울특별시,강동구,강동초등학교,1.17401E+24,1174010900,1174061000,서울특별시 강동구 상암로14길 77(천호동),2009,127.12997,37.54592,211485.5797,549608.6387
2372,1174000000,328,서울특별시,강동구,해공도서관,1.17401E+24,1174010900,1174061000,서울특별시 강동구 올림픽로 702(천호동),1932,127.126409,37.544355,211171.1681,549434.4414
2373,1174000000,340,서울특별시,강동구,동신중학교,1.17401E+24,1174010900,1174062000,서울특별시 강동구 진황도로 72(천호동),5000,127.134476,37.536743,211885.2552,548590.6628
2374,1174000000,335,서울특별시,강동구,성내1동 주민센터,1.17401E+24,1174010800,1174064000,서울특별시 강동구 성내로 13(성내동),184,127.122195,37.530529,210800.739,547899.4294
